Complete Class Schedule with Students:
Time Slot	Room	Course	Teacher	Students
MWF 11:10 AM-12:00 PM	TAYE	004066	1167978	3792350, 3797324, 3818025, 3908300, 3818029, 3823311, 3905715, 3699613, 3910517, 3584557, 3694668, 3910527, 3910531
MWF 9:10 AM-10:00 AM	DAL2	008423	4177943	3818805, 3901669, 3932943, 3953825, 4090844, 4127367, 3699613, 4130250, 4358230, 3902614, 3817419, 3820768, 3818771
MWF 10:10 AM-11:00 AM	PK179	004740	3764403	3789315, 3703938, 3910475, 4170472
MWF 9:10 AM-10:00 AM	BYC239	002562	1168490	3879518, 3934527, 3969214, 4151626, 4176781, 4231518, 4277274, 4278447, 4281005, 3913185, 3821687, 4276784, 4280849, 4281163, 4281294, 3914928, 4371930, 3818773, 3797868, 3905871, 3935616, 4000418, 4086375, 3799529, 3901004, 3910516, 4096964, 4280703, 4280941, 4175290, 3910623, 4175401, 4086635
MWF 9:10 AM-10:00 AM	TH111	008420	4177943	3823262, 3930865, 4003199, 4005905, 4096206, 4002846, 3930614, 4169489, 4093475, 3901936, 3929810, 4181991, 3851736, 4074784, 4278454, 3914696, 3759024
MWF 10:10 AM-11:00 AM	EHI	005272	1137952	3821197, 3669069, 3691228
MWF 9:10 AM-10:00 AM	RCCON	005154	1020104	3816180, 3929800, 3902759, 3889653, 3768025, 3930070, 3928941, 4175368, 3839910, 3818782, 3817261, 3930220
MWF 11:10 AM-12:00 PM	PK179	011827	4090501	3861339
T 9:10 AM-12:30 PM	TAYB	001457	0901151	3832060, 3758075, 3768972
MWF 10:10 AM-11:00 AM	TH111	002669	0897706	3930034
MWF 10:10 AM-11:00 AM	PK243	002420	0695890	3616206, 3821273, 4373610
TH 9:55 AM-12:45 PM	TAYG	008769	3996107	3876667, 4093409, 4140278, 4174908, 3823473, 4275968, 4174957, 4270406, 4175540, 4280157, 3822731, 3881459, 4371943
T 9:10 AM-12:30 PM	TAYD	005258	4170165	3905715, 4035604, 4093119, 4093165, 3910479, 3910559
T 9:10 AM-12:30 PM	GOCOM	017124	3448653	4092675, 3823094
MWF 11:10 AM-12:00 PM	TAYD	015860	0125630	3816463, 3817487, 4092004, 3903092, 3820858, 3915044, 4090730
T 9:10 AM-12:30 PM	DAL119	017126	4354081	3767997, 3834985, 3852791, 3931202, 3931688, 3931959
MWF 9:10 AM-10:00 AM	TAYE	017120	0806046	4093409, 4095965, 3708949, 3768515, 3908314, 3953819, 4278355, 3929586, 3930967, 4003177, 4276567, 3912597, 3923376, 4278360, 3793534, 3910526, 4086300, 4086397, 4193360, 3910688
T 9:10 AM-12:30 PM	EHIII	012352	4466695	3824908, 4092928, 4262071
MWF 9:10 AM-10:00 AM	PK349	014099	0409956	3771823, 3788897, 3722764, 3928966, 3930817, 3904320, 4086447, 3913807
T 9:10 AM-12:30 PM	RCSEM	017121	3995790	4000249, 4091996, 4092795, 4095190
T 9:10 AM-12:30 PM	ROSTUD	017122	4392595	3860357, 3913210, 3816764, 3889653, 3910710
MWF 9:10 AM-10:00 AM	CARP17	015855	3927894	4091899, 4093970, 3994726, 4276195, 3823278, 3817427, 4086404, 4086480, 3930705
TH 9:55 AM-12:45 PM	DAL212A	004290	3646542	3816993, 3910870, 3768197, 3579867, 4086249, 3823391, 3910498, 3789439, 3914251, 3929864, 3759092, 3823094
T 9:10 AM-12:30 PM	TH224	014523	4170914	3910617, 3914676, 3910646, 3819542, 3822914
MWF 11:10 AM-12:00 PM	PK354	015856	3927894	4070957, 4091899, 4175351, 3817427, 3820395, 3910744, 3669069
TH 9:55 AM-12:45 PM	TH104	017116	0851717	3692316, 3915155, 3987067, 4091895, 4094813, 4092251, 4043326, 4043549, 3851846
MWF 9:10 AM-10:00 AM	TH110	012107	0031619	3910179, 3931453, 4175888, 3910583, 3903861, 3905868, 4001431, 4467145
TH 9:55 AM-12:45 PM	DEDANCE	017117	0826176	3651486, 3667654, 3690799, 3823755, 3902404, 3576990, 3830308, 3815902
MWF 9:10 AM-10:00 AM	TH224	017118	4170165	3902404, 3576990, 3798513, 4010147, 3910725, 4086443, 3789283, 3984532, 3910766, 3811941, 3871572, 4244933, 4086280
TH 9:55 AM-12:45 PM	EHII	010965	0897706	3759552, 3820992, 3829442, 3913159, 3929222, 3788919, 3823151, 3805981, 3819309, 3930303, 3819304, 4096358, 4086376, 3910464
MWF 9:10 AM-10:00 AM	PK200	010725	3092941	3561430, 3676165, 3816860, 3816181, 3227350, 3818274, 3910496, 3797084, 3815902, 3999899, 3609407
T 9:10 AM-12:30 PM	PK200	002671	0847593	3937982, 3910636
TH 9:55 AM-12:45 PM	TH224	008774	4168989	3960504, 4258417, 4278521, 4276714, 3995227, 4276567, 3969012, 4278990, 4079295
MWF 10:10 AM-11:00 AM	CARP21	010966	0775640	4175370, 4129521, 4003177, 3797606, 4372220, 3910537
MWF 9:10 AM-10:00 AM	TH223	008773	3194197	4090841, 4165491, 4175358
T 9:10 AM-12:30 PM	PK247	004293	0802802	3768197, 3929237, 4086309
MWF 9:10 AM-10:00 AM	PK180	008770	0899465	3931836, 4011555, 4094613, 4095424, 4260945, 4093416, 4175521, 4086227, 4280030
TH 9:55 AM-12:45 PM	TH118	005263	0493855	3771823, 3781152, 3930197, 3816832, 3823387, 4086417, 3931453, 3798513, 3928941, 3768972, 4175312, 3915042
TH 9:55 AM-12:45 PM	PK354	005846	3479968	3941346, 4096899, 3880322, 4180953, 3899772, 4181036, 4170472
MWF 11:10 AM-12:00 PM	CARP25	005725	4362771	3932089, 4282999, 3870878, 4170477, 3901936, 4094965, 4175368, 4093853, 4175962
TH 9:55 AM-12:45 PM	PK154	001249	0254151	3581265, 3611048, 3630526, 3651465, 3704166, 3820397, 3931971, 3910738, 3817177, 3797839, 3714653, 3771747, 3821059, 3774808, 3929165, 3699567, 3797164, 3668365, 3690845, 3694668, 3764422, 3931064, 3580586
TH 9:55 AM-12:45 PM	PK328	003421	0024092	3816997, 3827187, 4003839, 4193260, 4280653, 4037591, 3910564, 4174660, 4143065, 4175286
MWF 11:10 AM-12:00 PM	PK200	004874	3436165	3814239, 4092823, 3888468, 3910684
MWF 9:10 AM-10:00 AM	PK328	005723	4170914	3850568, 4096738, 4174272, 4180435, 4280500, 4281029, 4276333, 4003389, 3975962, 4174660, 3843810, 4175388
T 9:10 AM-12:30 PM	BYC106	015650	4091999	3910622, 3823391, 3910674
T 9:10 AM-12:30 PM	DAL212E	015651	3478855	4062513, 4175535, 3690845
T 9:10 AM-12:30 PM	PK264	016862	4168993	3695145, 4092670, 3690789
MWF 9:10 AM-10:00 AM	DEDANCE	011295	4170297	3910185, 4175480, 3913164, 3822218, 4086216, 4086249, 3699567, 4086477, 3823402, 3910647, 3910481
MWF 11:10 AM-12:00 PM	RCCON	011296	0431946	3934527, 3930544, 4095004, 3821097, 3903861, 3857764, 4079295
MWF 11:10 AM-12:00 PM	BYC127	016614	4170946	3486653, 3816180, 3914820, 4092767, 3609410, 3820380, 4175385, 3821571, 3910686
TH 9:55 AM-12:45 PM	PK243	016852	3479968	3797532, 3913437, 3976786, 4174840, 3668130, 3789315, 4090814, 3910649, 3610287, 3612203, 3703938, 3906250, 3910745, 4086294, 3910567, 3775417, 3903520, 3796974
TH 9:55 AM-12:45 PM	DAL2	011962	0492451	3816463, 3903909, 4175284, 4175281, 3774021, 3910548, 4086473, 3894333, 4086244, 4093186, 3788983, 3904334
T 9:10 AM-12:30 PM	DAL25	016855	3474420	3913437, 3575266, 3900952, 3619216, 4175431, 3797084, 3910541, 3610671, 3817261
MWF 9:10 AM-10:00 AM	DAL119	006026	0972342	3691794, 3695145, 3790792, 3930162, 3930302, 4000367, 4003131, 4034558, 4095243, 4150774, 4278521, 3929419, 4086413, 4181152, 4000229, 3931962, 4372017, 3768620, 3930731, 3930168, 4095004, 4152983, 4169561, 4175540, 4269602, 4371979, 4000862, 4148521, 4170322, 4175454, 4176082, 4371999, 3914822, 4086335, 4175436, 4175485, 4175513, 4281409, 3969851, 4086317, 4126536, 4371972, 4372070, 4372212, 3768588, 4086320, 4175369, 4372068, 4086476
MWF 9:10 AM-10:00 AM	CARP21	006024	3839982	3948045, 4151426, 4152941, 4175354, 4175456, 4279624, 4280658, 4280898, 4003642, 4170444, 4278351, 4134616, 3964713, 4175333, 4180953, 4281892, 3905830, 4372026, 4372054, 3976675, 4003434, 4091782, 4175292, 4092335, 4174776, 4175448, 4181143, 4180395, 4175418, 4176699, 4282188, 4371958, 4175541
TH 9:55 AM-12:45 PM	PK278	001010	3402041	3852520, 4275431, 4092173, 4277523, 4077315, 3914696
TH 9:55 AM-12:45 PM	RCCON	007113	0316015	3913606, 3929289, 3929739, 4095965, 3585962, 3821687, 3930614, 4090714, 3910582
MWF 11:10 AM-12:00 PM	CARP21	012818	3448653	3818024, 3910870, 4175295, 4175408, 4003130, 3913164, 3822218, 4002094, 4175371, 4278990
MWF 11:10 AM-12:00 PM	ROSTUD	005295	4392595	3630526, 3651486, 3575266, 3902759, 3847931, 3910321, 3910526, 3790492, 3843290
TH 9:55 AM-12:45 PM	TH110	002567	4177047	4175533, 4276023, 4175548, 4175437, 4044087, 4175291, 4281886, 3910524, 3910557, 4174776, 4175438, 3858245, 3910469, 4175511, 4149852
T 9:10 AM-12:30 PM	PK259	001474	0020093	3704166, 3796732, 3816832, 3819367, 3789315
TH 9:55 AM-12:45 PM	TH111	002564	0564741	3816174, 3932943, 4001588, 4089004, 4093970, 4180325, 4277909, 4093282, 4371955, 4091782, 4254672, 3974846, 3994733, 3901254, 3995802, 4086215
MWF 11:10 AM-12:00 PM	PK180	002686	0138190	4092290, 4095243, 3768034, 4092771, 3817048, 3931451, 4092144, 3910480
MWF 10:10 AM-11:00 AM	PK229	013342	0493725	4092675
MWF 10:10 AM-11:00 AM	TAYSEM	014310	4354604	3910483, 3652339
MWF 11:10 AM-12:00 PM	PK229	012487	3083296	4280525, 4280907, 4095930, 4095079, 4093161, 4086361
TH 9:55 AM-12:45 PM	PK349	016846	3318436	3935260, 3957394, 4095309, 4175394, 4174889, 3789070, 3910642, 3914683, 3910507, 4003534, 4074784, 4175422
